# pdf: nNNPDF10_nlo_as_0118_C12
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.001000 	   4.411489 	   0.864010 
   0.001035 	   4.386816 	   0.853836 
   0.001072 	   4.362328 	   0.843849 
   0.001109 	   4.338019 	   0.834040 
   0.001148 	   4.313882 	   0.824402 
   0.001189 	   4.289913 	   0.814926 
   0.001230 	   4.266106 	   0.805606 
   0.001274 	   4.242454 	   0.796433 
   0.001318 	   4.218954 	   0.787402 
   0.001365 	   4.195598 	   0.778507 
   0.001413 	   4.172388 	   0.769744 
   0.001462 	   4.149350 	   0.761128 
   0.001514 	   4.126481 	   0.752653 
   0.001567 	   4.103774 	   0.744315 
   0.001622 	   4.081225 	   0.736108 
   0.001679 	   4.058828 	   0.728027 
   0.001738 	   4.036575 	   0.720067 
   0.001799 	   4.014462 	   0.712224 
   0.001862 	   3.992483 	   0.704494 
   0.001928 	   3.970631 	   0.696871 
   0.001995 	   3.948900 	   0.689353 
   0.002065 	   3.927300 	   0.681940 
   0.002138 	   3.905854 	   0.674639 
   0.002213 	   3.884555 	   0.667446 
   0.002291 	   3.863398 	   0.660357 
   0.002371 	   3.842375 	   0.653369 
   0.002455 	   3.821480 	   0.646478 
   0.002541 	   3.800705 	   0.639681 
   0.002630 	   3.780045 	   0.632975 
   0.002723 	   3.759492 	   0.626356 
   0.002818 	   3.739040 	   0.619821 
   0.002917 	   3.718682 	   0.613366 
   0.003020 	   3.698439 	   0.606996 
   0.003126 	   3.678329 	   0.600714 
   0.003236 	   3.658343 	   0.594518 
   0.003350 	   3.638474 	   0.588402 
   0.003467 	   3.618712 	   0.582366 
   0.003589 	   3.599051 	   0.576404 
   0.003715 	   3.579480 	   0.570514 
   0.003846 	   3.559993 	   0.564693 
   0.003981 	   3.540581 	   0.558936 
   0.004121 	   3.521235 	   0.553241 
   0.004266 	   3.501950 	   0.547605 
   0.004416 	   3.482763 	   0.542036 
   0.004571 	   3.463683 	   0.536535 
   0.004732 	   3.444700 	   0.531099 
   0.004898 	   3.425801 	   0.525725 
   0.005070 	   3.406978 	   0.520407 
   0.005248 	   3.388218 	   0.515143 
   0.005433 	   3.369513 	   0.509928 
   0.005623 	   3.350850 	   0.504759 
   0.005821 	   3.332219 	   0.499630 
   0.006026 	   3.313610 	   0.494538 
   0.006237 	   3.295021 	   0.489481 
   0.006457 	   3.276508 	   0.484472 
   0.006683 	   3.258068 	   0.479511 
   0.006918 	   3.239688 	   0.474593 
   0.007161 	   3.221352 	   0.469714 
   0.007413 	   3.203048 	   0.464869 
   0.007674 	   3.184761 	   0.460053 
   0.007943 	   3.166477 	   0.455261 
   0.008222 	   3.148182 	   0.450488 
   0.008511 	   3.129861 	   0.445728 
   0.008810 	   3.111501 	   0.440977 
   0.009120 	   3.093116 	   0.436235 
   0.009441 	   3.074773 	   0.431520 
   0.009772 	   3.056457 	   0.426830 
   0.010116 	   3.038151 	   0.422158 
   0.010471 	   3.019835 	   0.417501 
   0.010839 	   3.001492 	   0.412854 
   0.011220 	   2.983103 	   0.408210 
   0.011614 	   2.964650 	   0.403565 
   0.012023 	   2.946114 	   0.398914 
   0.012445 	   2.927476 	   0.394249 
   0.012882 	   2.908719 	   0.389566 
   0.013335 	   2.889886 	   0.384872 
   0.013804 	   2.871041 	   0.380182 
   0.014289 	   2.852161 	   0.375492 
   0.014791 	   2.833223 	   0.370800 
   0.015311 	   2.814203 	   0.366102 
   0.015849 	   2.795080 	   0.361395 
   0.016406 	   2.775830 	   0.356674 
   0.016982 	   2.756429 	   0.351936 
   0.017579 	   2.736856 	   0.347175 
   0.018197 	   2.717087 	   0.342386 
   0.018836 	   2.697101 	   0.337564 
   0.019498 	   2.676983 	   0.332720 
   0.020184 	   2.656773 	   0.327863 
   0.020893 	   2.636443 	   0.322995 
   0.021627 	   2.615969 	   0.318115 
   0.022387 	   2.595324 	   0.313225 
   0.023174 	   2.574484 	   0.308323 
   0.023988 	   2.553422 	   0.303408 
   0.024831 	   2.532113 	   0.298478 
   0.025704 	   2.510532 	   0.293529 
   0.026607 	   2.488653 	   0.288558 
   0.027542 	   2.466461 	   0.283559 
   0.028510 	   2.444051 	   0.278539 
   0.029512 	   2.421434 	   0.273505 
   0.030549 	   2.398592 	   0.268466 
   0.031623 	   2.375506 	   0.263428 
   0.032734 	   2.352158 	   0.258396 
   0.033884 	   2.328529 	   0.253373 
   0.035075 	   2.304600 	   0.248361 
