# pdf: NNPDF31_nlo_pch_as_0118
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-4), 10^(0), 1001]
# 	 x 	 gluon(cv) 	 gluon(sd) 
 0.00010000 	 5.57359213 	 2.29762387 
 0.00010093 	 5.56902635 	 2.28764032 
 0.00010186 	 5.56449587 	 2.27767550 
 0.00010280 	 5.55998824 	 2.26772825 
 0.00010375 	 5.55549099 	 2.25779730 
 0.00010471 	 5.55099165 	 2.24788127 
 0.00010568 	 5.54647776 	 2.23797861 
 0.00010666 	 5.54193686 	 2.22808765 
 0.00010765 	 5.53735648 	 2.21820660 
 0.00010864 	 5.53272416 	 2.20833353 
 0.00010965 	 5.52802743 	 2.19846645 
 0.00011066 	 5.52325382 	 2.18860335 
 0.00011169 	 5.51839509 	 2.17874216 
 0.00011272 	 5.51353087 	 2.16888124 
 0.00011376 	 5.50869423 	 2.15902234 
 0.00011482 	 5.50388324 	 2.14916794 
 0.00011588 	 5.49909602 	 2.13932046 
 0.00011695 	 5.49433065 	 2.12948224 
 0.00011803 	 5.48958523 	 2.11965551 
 0.00011912 	 5.48485785 	 2.10984239 
 0.00012023 	 5.48014662 	 2.10004483 
 0.00012134 	 5.47544962 	 2.09026463 
 0.00012246 	 5.47076496 	 2.08050341 
 0.00012359 	 5.46609073 	 2.07076261 
 0.00012474 	 5.46142502 	 2.06104346 
 0.00012589 	 5.45676593 	 2.05134697 
 0.00012706 	 5.45211157 	 2.04167395 
 0.00012823 	 5.44746001 	 2.03202500 
 0.00012942 	 5.44280936 	 2.02240046 
 0.00013062 	 5.43815772 	 2.01280049 
 0.00013183 	 5.43350317 	 2.00322502 
 0.00013305 	 5.42884383 	 1.99367376 
 0.00013428 	 5.42417777 	 1.98414623 
 0.00013552 	 5.41950310 	 1.97464176 
 0.00013677 	 5.41481792 	 1.96515950 
 0.00013804 	 5.41012031 	 1.95569846 
 0.00013932 	 5.40540839 	 1.94625749 
 0.00014060 	 5.40068023 	 1.93683537 
 0.00014191 	 5.39593394 	 1.92743076 
 0.00014322 	 5.39116802 	 1.91803775 
 0.00014454 	 5.38638534 	 1.90861695 
 0.00014588 	 5.38158798 	 1.89916357 
 0.00014723 	 5.37677732 	 1.88968276 
 0.00014859 	 5.37195478 	 1.88017985 
 0.00014997 	 5.36712175 	 1.87066025 
 0.00015136 	 5.36227964 	 1.86112950 
 0.00015276 	 5.35742985 	 1.85159319 
 0.00015417 	 5.35257378 	 1.84205697 
 0.00015560 	 5.34771283 	 1.83252654 
 0.00015704 	 5.34284840 	 1.82300761 
 0.00015849 	 5.33798190 	 1.81350590 
 0.00015996 	 5.33311473 	 1.80402712 
 0.00016144 	 5.32824828 	 1.79457696 
 0.00016293 	 5.32338397 	 1.78516110 
 0.00016444 	 5.31852318 	 1.77578518 
 0.00016596 	 5.31366733 	 1.76645478 
 0.00016749 	 5.30881782 	 1.75717547 
 0.00016904 	 5.30397605 	 1.74795277 
 0.00017061 	 5.29914341 	 1.73879215 
 0.00017219 	 5.29432132 	 1.72969907 
 0.00017378 	 5.28951116 	 1.72067894 
 0.00017539 	 5.28471436 	 1.71173717 
 0.00017701 	 5.27993229 	 1.70287915 
 0.00017865 	 5.27516638 	 1.69411031 
 0.00018030 	 5.27041802 	 1.68543607 
 0.00018197 	 5.26568860 	 1.67686195 
 0.00018365 	 5.26098387 	 1.66839391 
 0.00018535 	 5.25632306 	 1.66003496 
 0.00018707 	 5.25170441 	 1.65178020 
 0.00018880 	 5.24712333 	 1.64362420 
 0.00019055 	 5.24257526 	 1.63556160 
 0.00019231 	 5.23805564 	 1.62758705 
 0.00019409 	 5.23355990 	 1.61969513 
 0.00019588 	 5.22908347 	 1.61188035 
 0.00019770 	 5.22462178 	 1.60413707 
 0.00019953 	 5.22017027 	 1.59645950 
 0.00020137 	 5.21572438 	 1.58884166 
 0.00020324 	 5.21127953 	 1.58127735 
 0.00020512 	 5.20683115 	 1.57376015 
 0.00020701 	 5.20237469 	 1.56628338 
 0.00020893 	 5.19790557 	 1.55884011 
 0.00021086 	 5.19341924 	 1.55142316 
 0.00021281 	 5.18891111 	 1.54402510 
 0.00021478 	 5.18437662 	 1.53663826 
 0.00021677 	 5.17981122 	 1.52925475 
 0.00021878 	 5.17521032 	 1.52186647 
 0.00022080 	 5.17056937 	 1.51446516 
 0.00022284 	 5.16588380 	 1.50704242 
 0.00022491 	 5.16114904 	 1.49958977 
 0.00022699 	 5.15636052 	 1.49209867 
 0.00022909 	 5.15151368 	 1.48456061 
 0.00023121 	 5.14660395 	 1.47696717 
 0.00023335 	 5.14162676 	 1.46931008 
 0.00023550 	 5.13658175 	 1.46159552 
 0.00023768 	 5.13147948 	 1.45385920 
 0.00023988 	 5.12632345 	 1.44610508 
 0.00024210 	 5.12111661 	 1.43833516 
 0.00024434 	 5.11586190 	 1.43055150 
 0.00024660 	 5.11056227 	 1.42275620 
 0.00024889 	 5.10522068 	 1.41495139 
 0.00025119 	 5.09984006 	 1.40713924 
 0.00025351 	 5.09442337 	 1.39932189 
 0.00025586 	 5.08897356 	 1.39150147 
 0.00025823 	 5.08349357 	 1.38368009 
 0.00026062 	 5.07798636 	 1.37585981 
 0.00026303 	 5.07245486 	 1.36804264 
 0.00026546 	 5.06690204 	 1.36023051 
 0.00026792 	 5.06133083 	 1.35242530 
 0.00027040 	 5.05574419 	 1.34462877 
 0.00027290 	 5.05014506 	 1.33684261 
 0.00027542 	 5.04453640 	 1.32906839 
 0.00027797 	 5.03892114 	 1.32130758 
 0.00028054 	 5.03330225 	 1.31356154 
 0.00028314 	 5.02768266 	 1.30583152 
 0.00028576 	 5.02206532 	 1.29811862 
 0.00028840 	 5.01645319 	 1.29042386 
